batch_id,unique_authors,total_contribution,avg_contribution,max_contribution,avg_effort,importance,total_churn,total_files,start_ts,end_ts,commit_count,start_date,end_date,duration_hours
220,13,5.5266,0.2909,0.9291,0.147,1.2874,9376.0,165,1739230513,1739400708,19,2025-02-10,2025-02-12,47.28
174,8,4.7597,0.476,1.4295,0.2499,1.3432,17217.0,77,1742492229,1742569662,10,2025-03-20,2025-03-21,21.51
142,14,4.3972,0.2199,1.1104,0.1085,1.3602,7638.0,130,1744703621,1744822807,20,2025-04-15,2025-04-16,33.11
199,20,3.8936,0.1217,0.9938,-0.0118,1.3974,7759.0,354,1740584006,1741021817,32,2025-02-26,2025-03-03,121.61
202,12,3.8536,0.2028,0.5295,0.1027,1.1896,8227.0,102,1740210814,1740439158,19,2025-02-22,2025-02-24,63.43
210,5,3.6827,0.5261,1.0558,0.4008,1.1362,6378.0,132,1739924512,1739986370,7,2025-02-19,2025-02-19,17.18
70,8,3.5443,0.2532,0.6082,0.2142,1.1208,4330.0,85,1748868337,1749021258,14,2025-06-02,2025-06-04,42.48
27,8,3.3785,0.3071,0.989,0.1691,1.2766,4921.0,102,1752774706,1752924685,11,2025-07-17,2025-07-19,41.66
150,11,2.8782,0.2398,0.7609,0.1121,1.2836,5398.0,92,1744161025,1744297018,12,2025-04-09,2025-04-10,37.78
38,6,2.775,0.3469,0.7949,0.3185,1.0156,6945.0,61,1751565689,1751910119,8,2025-07-03,2025-07-07,95.68
223,18,2.6967,0.1226,0.5322,0.0017,1.1633,5250.0,104,1738771754,1738958854,22,2025-02-05,2025-02-07,51.97
171,6,2.5472,0.4245,0.9297,0.3478,1.2205,6856.0,174,1742925222,1743050138,6,2025-03-25,2025-03-27,34.7
67,10,2.5045,0.2277,1.2031,0.1198,1.3378,8658.0,126,1749042065,1749085278,11,2025-06-04,2025-06-05,12.0
224,17,2.4868,0.1036,0.9207,-0.0063,1.3427,10370.0,107,1738650417,1738768585,24,2025-02-04,2025-02-05,32.82
176,12,2.4258,0.1617,0.6348,0.0664,1.1877,5884.0,213,1742063741,1742307464,15,2025-03-15,2025-03-18,67.7
146,11,2.116,0.1511,0.5503,0.0826,1.021,4778.0,71,1744344259,1744623324,14,2025-04-11,2025-04-14,77.52
213,13,2.1111,0.1319,0.7875,0.0542,0.9898,4115.0,60,1739805201,1739887679,16,2025-02-17,2025-02-18,22.91
175,8,2.0972,0.2097,0.4994,0.2474,0.8177,2062.0,76,1742313413,1742491244,10,2025-03-18,2025-03-20,49.4
180,6,2.063,0.3438,1.1707,0.2521,1.2007,8673.0,114,1741859395,1741905564,6,2025-03-13,2025-03-13,12.82
66,12,2.0629,0.1473,0.4154,0.1095,1.1211,4311.0,92,1749095306,1749236631,14,2025-06-05,2025-06-06,39.26
21,8,2.012,0.1829,0.4789,0.1898,0.7371,3046.0,67,1753194234,1753333646,11,2025-07-22,2025-07-24,38.73
131,10,1.9855,0.1655,0.5091,0.1251,1.1117,5679.0,188,1745353943,1745507910,12,2025-04-22,2025-04-24,42.77
119,6,1.7411,0.2902,0.7708,0.2758,1.0388,2943.0,148,1745966248,1745986533,6,2025-04-29,2025-04-30,5.63
193,12,1.7396,0.1023,0.3294,0.0436,0.5885,2190.0,45,1741204126,1741283831,17,2025-03-05,2025-03-06,22.14
116,6,1.7115,0.2445,0.6117,0.2623,0.864,1312.0,100,1746106578,1746156312,7,2025-05-01,2025-05-02,13.82
200,11,1.6886,0.1535,0.6788,0.0601,1.0495,4412.0,76,1740463371,1740567743,11,2025-02-25,2025-02-26,28.99
172,11,1.6644,0.1189,0.4523,0.0765,0.8207,2329.0,74,1742750360,1742919241,14,2025-03-23,2025-03-25,46.91
98,14,1.611,0.1074,0.5368,0.0173,1.0392,4026.0,98,1747143409,1747241769,15,2025-05-13,2025-05-14,27.32
59,20,1.5816,0.0586,0.5306,-0.0494,1.2483,6670.0,93,1750179110,1750491391,27,2025-06-17,2025-06-21,86.74
100,10,1.5231,0.1385,0.4727,0.034,0.9268,2769.0,82,1746974207,1747129360,11,2025-05-11,2025-05-13,43.1
90,7,1.3675,0.1709,0.4598,0.0981,0.879,2311.0,81,1747761818,1747826107,8,2025-05-20,2025-05-21,17.86
105,14,1.3236,0.0945,0.4679,0.0316,1.0306,5646.0,68,1746603791,1746738516,14,2025-05-07,2025-05-08,37.42
166,4,1.2974,0.3244,0.4073,0.4521,0.7175,4441.0,56,1743414381,1743423354,4,2025-03-31,2025-03-31,2.49
12,7,1.2887,0.1841,0.8447,0.0622,0.934,2447.0,106,1753862521,1753945132,7,2025-07-30,2025-07-31,22.95
62,13,1.2692,0.0907,0.5144,-0.006,1.0804,2611.0,164,1749579464,1749765170,14,2025-06-10,2025-06-12,51.58
117,9,1.2263,0.1115,0.3966,0.0859,0.5974,2186.0,42,1745998354,1746090823,11,2025-04-30,2025-05-01,25.69
167,3,1.2016,0.3004,0.5127,0.5186,0.5621,1929.0,49,1743189293,1743400144,4,2025-03-28,2025-03-31,58.57
151,9,1.1655,0.106,0.4114,0.063,0.7776,1172.0,104,1744041962,1744144856,11,2025-04-07,2025-04-08,28.58
190,14,1.1576,0.0643,0.5572,-0.0287,1.0101,1703.0,103,1741374455,1741621410,18,2025-03-07,2025-03-10,68.6
209,6,1.1395,0.1628,0.2994,0.162,0.7348,988.0,87,1739986468,1740007351,7,2025-02-19,2025-02-19,5.8
212,3,1.1207,0.2802,0.3139,0.5125,0.5467,1327.0,56,1739887831,1739895698,4,2025-02-18,2025-02-18,2.19
197,15,1.1124,0.0556,0.333,-0.023,0.7426,1177.0,67,1741046530,1741181109,20,2025-03-04,2025-03-05,37.38
61,10,1.1027,0.0848,0.3347,0.1064,0.4375,2219.0,31,1749787425,1750172179,13,2025-06-13,2025-06-17,106.88
47,3,1.0345,0.2069,0.2959,0.4386,0.4458,2923.0,33,1751212288,1751218225,5,2025-06-29,2025-06-29,1.65
96,7,0.976,0.122,0.3244,0.2015,0.5019,1380.0,42,1747277267,1747319245,8,2025-05-15,2025-05-15,11.66
162,7,0.9437,0.1348,0.4346,0.1523,0.7334,1892.0,78,1743517059,1743609987,7,2025-04-01,2025-04-02,25.81
143,6,0.9008,0.1287,0.3319,0.1712,0.5519,1427.0,47,1744635924,1744702612,7,2025-04-14,2025-04-15,18.52
72,8,0.8928,0.0893,0.2796,0.1121,0.4582,1856.0,38,1748595240,1748798295,10,2025-05-30,2025-06-01,56.4
92,6,0.8849,0.1264,0.3333,0.2502,0.4731,2775.0,30,1747428852,1747662702,7,2025-05-16,2025-05-19,64.96
135,9,0.8749,0.0875,0.3131,0.0966,0.4979,1893.0,42,1744974817,1745241776,10,2025-04-18,2025-04-21,74.16
80,9,0.8688,0.0965,0.3138,0.0876,0.6818,2398.0,72,1748155003,1748294264,9,2025-05-25,2025-05-26,38.68
93,6,0.8149,0.1358,0.3678,0.1694,0.5474,1436.0,54,1747389457,1747414340,6,2025-05-16,2025-05-16,6.91
5,5,0.7929,0.1586,0.5488,0.1833,0.6076,2149.0,61,1754367774,1754399761,5,2025-08-05,2025-08-05,8.89
216,5,0.7904,0.1129,0.252,0.3033,0.3293,1128.0,44,1739535978,1739559320,7,2025-02-14,2025-02-14,6.48
106,5,0.766,0.1532,0.3703,0.2565,0.5678,886.0,68,1746533961,1746565502,5,2025-05-06,2025-05-06,8.76
185,3,0.7238,0.2413,0.3885,0.5279,0.457,1937.0,46,1741743517,1741785559,3,2025-03-12,2025-03-12,11.68
64,7,0.7165,0.0796,0.2326,0.197,0.3142,2408.0,38,1749313015,1749467459,9,2025-06-07,2025-06-09,42.9
79,10,0.7049,0.0587,0.2565,0.0042,0.5583,2947.0,46,1748337957,1748436823,12,2025-05-27,2025-05-28,27.46
207,4,0.6907,0.1381,0.2617,0.392,0.3515,1542.41,30,1740057255,1740139996,5,2025-02-20,2025-02-21,22.98
129,3,0.618,0.206,0.2383,0.5329,0.3865,1307.0,47,1745512866,1745521043,3,2025-04-24,2025-04-24,2.27
211,6,0.616,0.1027,0.3493,0.1548,0.4235,2118.0,23,1739897326,1739924309,6,2025-02-18,2025-02-19,7.5
139,4,0.5882,0.147,0.257,0.3525,0.4054,952.0,48,1744880714,1744900897,4,2025-04-17,2025-04-17,5.61
149,4,0.578,0.1445,0.1785,0.3756,0.3847,2191.0,35,1744297058,1744329448,4,2025-04-10,2025-04-10,9.0
63,12,0.5491,0.0422,0.2253,-0.0115,0.471,1824.0,40,1749477178,1749575392,13,2025-06-09,2025-06-10,27.28
156,6,0.5389,0.0898,0.2544,0.1979,0.3754,1502.0,41,1743854491,1743915765,6,2025-04-05,2025-04-06,17.02
85,3,0.485,0.1617,0.2531,0.4751,0.3403,1255.0,30,1747987548,1748014773,3,2025-05-23,2025-05-23,7.56
158,10,0.4545,0.0413,0.1287,0.0064,0.2838,1329.0,35,1743704390,1743783728,11,2025-04-03,2025-04-04,22.04
25,6,0.4491,0.0749,0.2474,0.2117,0.2997,2417.0,35,1753050869,1753106080,6,2025-07-20,2025-07-21,15.34
99,4,0.4332,0.1083,0.1953,0.3158,0.2994,1584.0,33,1747138226,1747142537,4,2025-05-13,2025-05-13,1.2
160,6,0.4271,0.0712,0.2632,0.1819,0.3436,1215.0,44,1743669500,1743697856,6,2025-04-03,2025-04-03,7.88
122,4,0.422,0.1055,0.2555,0.3088,0.2901,2279.0,37,1745614908,1745767189,4,2025-04-25,2025-04-27,42.3
26,3,0.4136,0.1379,0.1621,0.4998,0.2759,1678.0,44,1752999397,1753044669,3,2025-07-20,2025-07-20,12.58
1,6,0.4044,0.0449,0.0844,0.1437,0.2503,647.0,56,1754548210,1754641842,9,2025-08-07,2025-08-08,26.01
165,9,0.4026,0.0403,0.0969,0.0441,0.3417,1544.0,38,1743425131,1743511787,10,2025-03-31,2025-04-01,24.07
11,4,0.3903,0.0976,0.2297,0.2925,0.2994,840.97,48,1753950848,1753973667,4,2025-07-31,2025-07-31,6.34
121,3,0.3785,0.0946,0.1893,0.3971,0.2115,1498.0,15,1745773110,1745838863,4,2025-04-27,2025-04-28,18.26
173,5,0.3783,0.0631,0.1886,0.2404,0.2305,1332.0,20,1742571383,1742749757,6,2025-03-21,2025-03-23,49.55
196,2,0.3669,0.1834,0.2503,0.6517,0.2815,1515.0,32,1741184852,1741185129,2,2025-03-05,2025-03-05,0.08
221,4,0.3643,0.0729,0.182,0.2903,0.2352,620.0,39,1739206982,1739225882,5,2025-02-10,2025-02-10,5.25
217,3,0.3475,0.0869,0.1248,0.4404,0.1973,1549.0,20,1739480226,1739522921,4,2025-02-13,2025-02-14,11.86
124,3,0.3251,0.1084,0.1514,0.5256,0.2062,2322.0,9,1745586219,1745597363,3,2025-04-25,2025-04-25,3.1
28,11,0.3198,0.0246,0.0807,0.0541,0.1723,940.0,23,1752538434,1752773640,13,2025-07-15,2025-07-17,65.33
37,9,0.3185,0.0354,0.1307,0.0257,0.3182,1535.0,34,1751913852,1752051178,9,2025-07-07,2025-07-09,38.15
140,8,0.3053,0.0382,0.0766,-0.0184,-0.3247,251.0,12,1744829855,1744880361,8,2025-04-16,2025-04-17,14.03
104,6,0.3051,0.0509,0.1196,0.144,0.2574,1285.0,24,1746755335,1746859354,6,2025-05-09,2025-05-10,28.89
219,8,0.2853,0.0317,0.1206,0.0231,0.2019,818.0,21,1739423206,1739467858,9,2025-02-13,2025-02-13,12.4
218,3,0.2769,0.0923,0.1532,0.4632,0.1992,1731.0,19,1739471225,1739473561,3,2025-02-13,2025-02-13,0.65
159,1,0.2767,0.2767,0.2767,0.8475,0.3265,727.0,81,1743704158,1743704158,1,2025-04-03,2025-04-03,0.0
33,2,0.2766,0.1383,0.1988,0.6091,0.2271,1156.0,59,1752165341,1752225988,2,2025-07-10,2025-07-11,16.85
86,6,0.2603,0.0434,0.0996,0.1117,0.2155,1838.0,16,1747943104,1747987115,6,2025-05-22,2025-05-23,12.23
191,7,0.2547,0.0364,0.1006,0.0589,0.2452,1781.0,24,1741354282,1741374246,7,2025-03-07,2025-03-07,5.55
133,2,0.2535,0.1267,0.1326,0.6954,0.1823,1006.0,53,1745318612,1745330375,2,2025-04-22,2025-04-22,3.27
95,6,0.2254,0.0376,0.1683,0.1216,0.2185,871.0,25,1747325246,1747348740,6,2025-05-15,2025-05-15,6.53
55,12,0.2059,0.0172,0.123,-0.0168,0.2109,1099.0,39,1750754774,1750852947,12,2025-06-24,2025-06-25,27.27
155,4,0.1971,0.0493,0.1226,0.1437,-0.713,41.0,5,1743948485,1743957824,4,2025-04-06,2025-04-06,2.59
153,3,0.188,0.047,0.0722,0.5294,0.0888,1729.0,34,1744016688,1744041472,4,2025-04-07,2025-04-07,6.88
214,4,0.1813,0.0453,0.1085,0.1459,-0.5136,158.0,5,1739738905,1739796209,4,2025-02-16,2025-02-17,15.92
23,3,0.1785,0.0595,0.0775,0.3817,0.1559,619.0,39,1753175227,1753187784,3,2025-07-22,2025-07-22,3.49
189,6,0.1711,0.0285,0.0704,0.1999,0.1174,1492.0,21,1741621835,1741687711,6,2025-03-10,2025-03-11,18.3
39,6,0.1646,0.0274,0.0708,0.1937,0.1395,1084.0,22,1751463131,1751540683,6,2025-07-02,2025-07-03,21.54
126,2,0.1627,0.0542,0.0641,0.5355,0.1013,504.0,25,1745567769,1745572606,3,2025-04-25,2025-04-25,1.34
87,2,0.1592,0.0796,0.1169,0.5923,0.1344,1049.0,24,1747926335,1747932891,2,2025-05-22,2025-05-22,1.82
13,6,0.1378,0.023,0.0551,0.1355,0.117,989.0,23,1753783848,1753805918,6,2025-07-29,2025-07-29,6.13
57,6,0.1154,0.0192,0.049,0.1054,0.136,359.0,41,1750599723,1750667413,6,2025-06-22,2025-06-23,18.8
97,2,0.1128,0.0564,0.057,0.6888,0.0819,904.0,21,1747245587,1747260699,2,2025-05-14,2025-05-14,4.2
