number,title,user,created_at,merged_at,closed_at,state,comments,additions,deletions,changed_files,mergeable_state,is_merged
1288,Update acp6x-mach.c,mafiatamilan,2025-07-03 20:26:18+00:00,,,open,3,8,0,1,clean,False
1287,Update filter.rst,thegreatfatzby,2025-07-03 14:20:02+00:00,,,open,1,1,1,1,clean,False
1286,ksmbd: prevent use-after-free in oplock/lease break ack error path,LoboQ1ng,2025-07-03 11:44:13+00:00,,,open,1,2,4,1,clean,False
1285,Dev,Iwasaki136,2025-07-03 04:23:07+00:00,,2025-07-03 04:23:13+00:00,closed,0,66,10,6,unknown,False
1284,lklfuse: support exclusive locks to avoid duplicate mounts,ddiss,2025-07-02 11:55:48+00:00,,2025-07-02 11:56:10+00:00,closed,1,26525,22,220,dirty,False
1283,Update README,dadu1161,2025-07-02 10:26:39+00:00,,,open,1,1,1,1,clean,False
1282,vsprintf: make vsnprintf() return total output length per POSIX,ThatOneDudeV69,2025-07-01 12:35:32+00:00,,2025-07-04 10:28:09+00:00,closed,1,35,24,1,unknown,False
1281,Add meself,RTX3080Ti-Official,2025-06-30 18:39:50+00:00,,,open,1,1075,0,1,clean,False
1280,Refactored the script into a modular structure for clarity.,muhannad-iz-a-tech-nerd,2025-06-30 17:33:19+00:00,,,open,1,39,34,1,clean,False
1279,Rebase next 20250627,LaurentiuM1234,2025-06-29 20:00:01+00:00,,2025-06-29 20:00:30+00:00,closed,1,194948,120968,6144,dirty,False
1278,TEST,asafelobotomy,2025-06-26 14:19:22+00:00,,2025-06-26 14:21:41+00:00,closed,1,674,4935653,21219,unknown,False
1277,Update free-space-tree.c,ReNothingg,2025-06-26 05:51:46+00:00,,,open,1,22,38,1,clean,False
1276,fuse: Clarify offset field is signed despite uint64_t type,izxl007,2025-06-25 15:25:05+00:00,,2025-06-28 02:50:26+00:00,closed,1,4,0,1,unknown,False
1275,feat: Add initial Python FUSE in-memory filesystem,rkarahan80,2025-06-23 15:47:29+00:00,,,open,1,60,0,2,clean,False
1274,Dean test,DeanDoyle1502,2025-06-23 15:25:01+00:00,,,open,1,46,1,3,clean,False
1273,Devel,prassanna-prasath,2025-06-23 08:08:05+00:00,,2025-06-23 14:26:02+00:00,closed,1,43,0,3,unknown,False
1272,af_can.c,Akldcx67,2025-06-22 07:02:38+00:00,,,open,2,1,1,1,clean,False
1271,ASoC: amd: yc: add quirk for Acer Nitro ANV15-41 internal mic,Yuzuru10,2025-06-21 18:20:02+00:00,,2025-06-21 18:20:52+00:00,closed,1,7,0,1,unknown,False
1269,Alex fixes manual,AlexGhiti,2025-06-20 06:30:12+00:00,,2025-06-20 06:30:23+00:00,closed,0,11486,32,132,unknown,False
1268,Update af_unix.c to increase default max_dgram_qlen.,sbesse-nam,2025-06-18 12:52:44+00:00,,,open,1,1,1,1,clean,False
1267,optimized sub-optimal code,primewk,2025-06-17 13:18:04+00:00,,,open,2,0,0,0,dirty,False
1266,iavf: add RSS support for GTP protocol via ethtool,aloktion,2025-06-16 09:17:35+00:00,,2025-06-16 09:18:33+00:00,closed,0,14367,6965,1026,dirty,False
1265,Linux Chinese readme file,wyy667788,2025-06-15 10:01:51+00:00,,,open,3,17,0,1,clean,False
1264,sched: Scope-based Resource Management Support,jemmy512,2025-06-14 11:06:36+00:00,,2025-06-14 11:31:06+00:00,closed,1,171,307,16,unknown,False
1263,Create linux operation,sudharsanraja123,2025-06-14 05:51:42+00:00,,,open,3,1,0,1,clean,False
1262,My linux,yunjianshijie,2025-06-10 13:55:01+00:00,,2025-06-10 13:57:39+00:00,closed,1,1,1,1,unknown,False
1261,optimized kernel/exit.c by adding NAGIEV,gmehdiev,2025-06-08 19:48:42+00:00,,,open,101,111,1926,2,dirty,False
1260,Update timecounter.c,itashia,2025-06-08 10:17:58+00:00,,,open,1,52,45,1,unknown,False
1259,Potential Vulnerability: Missing Null-Termination in ecryptfs_fill_auth_tok,DiamondGotCat,2025-06-06 22:19:22+00:00,,2025-06-06 23:00:37+00:00,closed,2,2,0,1,unknown,False
1257,Update autosuspend\_check to prevent external USB mouse from auto-susâ€¦,Chrispin-m,2025-06-05 16:58:44+00:00,,,open,1,69,58,1,unknown,False
